title,start_year,end_year,genre,summary,rating,votes,run_time,actors
Masters of the Universe: Revelation,2021,Ongoing,"Animation, Action, Adventure",The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.,5.0,17870,25,"Chris Wood, Sarah Michelle Gellar, Lena Headey, Mark Hamill"
The Walking Dead,2010,2022,"Drama, Horror, Thriller",Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,8.2,885805,44,"Andrew Lincoln, Norman Reedus, Melissa McBride, Lauren Cohan"
Rick and Morty,2013,Ongoing,"Animation, Adventure, Comedy",An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,9.2,414849,23,"Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke"
Outer Banks,2020,Ongoing,"Action, Crime, Drama",A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long buried secret.,7.6,25858,50,"Chase Stokes, Madelyn Cline, Madison Bailey, Jonathan Daviss"
Dexter,2006,2013,"Crime, Drama, Mystery","By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.",8.6,665387,53,"Michael C. Hall, Jennifer Carpenter, David Zayas, James Remar"
Never Have I Ever,2020,Ongoing,Comedy,"The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.",7.9,34530,30,"Maitreyi Ramakrishnan, Poorna Jagannathan, Darren Barnet, John McEnroe"
Virgin River,2019,Ongoing,"Drama, Romance","Seeking a fresh start, nurse practitioner Melinda Monroe moves from Los Angeles to a remote Northern California town and is surprised by what and who she finds.",7.4,27279,44,"Alexandra Breckenridge, Martin Henderson, Colin Lawrence, Tim Matheson"
Lucifer,2016,2021,"Crime, Drama, Fantasy",Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,8.1,264222,42,"Tom Ellis, Lesley-Ann Brandt, Lauren German, D.B. Woodside"
Sex/Life,2021,Ongoing,"Comedy, Drama, Romance",A suburban mother of two takes a fantasy-charged trip down memory lane that sets her very married present on a collision course with her wild-child past.,5.4,12172,47,"Sarah Shahi, Mike Vogel, Adam Demos, Margaret Odette"
American Horror Story,2011,Ongoing,"Drama, Horror, Thriller","An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, and a slasher summer camp.",8.0,286488,60,"Lady Gaga, Kathy Bates, Angela Bassett, Sarah Paulson"
